Year,Quarter,State,Colonies,Max Colonies,Lost Colonies,Added Colonies,Renovated Colonies
2016,5,Alabama,7000,7000,1800,2800,250
2016,5,Arizona,35000,35000,4600,3400,2100
2016,5,Arkansas,13000,14000,1500,1200,90
2016,5,California,1440000,1690000,255000,250000,124000
2016,5,Colorado,3500,12500,1500,200,140
2016,5,Connecticut,3900,3900,870,290,-
2016,5,Florida,305000,315000,42000,54000,25000
2016,5,Georgia,104000,105000,14500,47000,9500
2016,5,Hawaii,10500,10500,380,3400,760
2016,5,Idaho,81000,88000,3700,2600,8000
2016,5,Illinois,6000,10500,4200,2300,390
2016,5,Indiana,9000,9500,2100,490,120
2016,5,Iowa,12500,17500,3100,1700,270
2016,5,Kansas,4600,7000,1600,450,70
2016,5,Kentucky,7500,10500,4100,250,-
2016,5,Louisiana,51000,51000,8000,3100,6500
2016,5,Maine,3100,6500,380,20,-
2016,5,Maryland,7500,10000,4100,1600,870
2016,5,Massachusetts,2900,4600,1000,260,120
2016,5,Michigan,16500,60000,11500,7500,2400
2016,5,Minnesota,28000,74000,3700,690,530
2016,5,Mississippi,34000,76000,8500,22000,7500
2016,5,Missouri,12000,13000,2000,220,910
2016,5,Montana,8500,36000,2200,1400,1100
2016,5,Nebraska,10000,31000,2600,120,310
2016,5,New Jersey,6000,9000,1100,570,1600
2016,5,New Mexico,7000,7000,690,190,600
2016,5,New York,27000,30000,6500,430,950
2016,5,North Carolina,24000,26000,7000,6000,690
2016,5,North Dakota,57000,120000,620,1800,530
2016,5,Ohio,18000,22000,10500,5000,3300
2016,5,Oklahoma,9500,26000,6000,2600,260
2016,5,Oregon,77000,87000,6500,4300,2400
2016,5,Pennsylvania,14000,21000,6500,360,-
2016,5,South Carolina,17000,17500,2700,2700,1400
2016,5,South Dakota,50000,97000,4600,8500,2800
2016,5,Tennessee,9500,9500,2000,1000,190
2016,5,Texas,191000,250000,26000,82000,51000
2016,5,Utah,6000,24000,3300,2500,290
2016,5,Vermont,5500,5500,700,1200,20
2016,5,Virginia,8000,9000,2500,800,460
2016,5,Washington,52000,105000,14000,13500,9000
2016,5,West Virginia,4700,6000,1800,570,60
2016,5,Wisconsin,16500,29000,8000,3100,2500
2016,5,Wyoming,5500,12000,2000,2000,1400
2016,5,Other States 5/,3410,8990,2080,870,150
2016,5,United States,2824610,(X),500020,546980,270530
2016,1,Alabama,7500,7500,860,1900,680
2016,1,Arizona,33000,33000,5500,19500,7000
2016,1,Arkansas,13500,13500,1900,11500,5500
2016,1,California,1040000,1050000,104000,170000,285000
2016,1,Colorado,12000,25000,1900,6000,3500
2016,1,Connecticut,3000,3000,80,1100,150
2016,1,Florida,210000,215000,35000,44000,24000
2016,1,Georgia,114000,124000,23000,25000,19000
2016,1,Hawaii,13500,13500,120,1100,1200
2016,1,Idaho,62000,72000,6500,16500,10500
2016,1,Illinois,9500,9500,1300,6000,1500
2016,1,Indiana,8000,12500,1300,4900,4300
2016,1,Iowa,12500,24000,1400,6500,3100
2016,1,Kansas,6000,7000,670,2800,420
2016,1,Kentucky,7500,8500,980,3600,1500
2016,1,Louisiana,44000,45000,1800,6500,8000
2016,1,Maine,4600,30000,3200,3500,700
2016,1,Maryland,8000,11000,370,2600,710
2016,1,Massachusetts,4100,14000,320,940,510
2016,1,Michigan,58000,88000,9500,13500,5500
2016,1,Minnesota,71000,125000,12500,20000,21000
2016,1,Mississippi,89000,89000,11000,5500,10000
2016,1,Missouri,11500,12500,500,1900,1800
2016,1,Montana,36000,210000,4200,14000,33000
2016,1,Nebraska,29000,68000,4100,15500,4600
2016,1,New Jersey,8500,19000,1800,2100,2900
2016,1,New Mexico,6500,8500,1000,1500,330
2016,1,New York,24000,34000,1100,11000,1500
2016,1,North Carolina,19500,23000,1800,5500,3300
2016,1,North Dakota,121000,450000,29000,39000,61000
2016,1,Ohio,17500,19000,2100,10000,6000
2016,1,Oklahoma,25000,27000,2200,5500,2200
2016,1,Oregon,82000,95000,5500,14500,9500
2016,1,Pennsylvania,15500,19000,1600,8500,2600
2016,1,South Carolina,17500,18500,950,1100,2000
2016,1,South Dakota,100000,290000,21000,27000,23000
2016,1,Tennessee,7500,7500,730,3600,920
2016,1,Texas,305000,315000,33000,76000,94000
2016,1,Utah,24000,27000,3400,10000,3900
2016,1,Vermont,6000,6000,100,580,50
2016,1,Virginia,7500,7500,270,2100,430
2016,1,Washington,105000,127000,5000,15000,13000
2016,1,West Virginia,4700,4700,570,2900,590
2016,1,Wisconsin,25000,65000,4600,10000,5500
2016,1,Wyoming,12000,25000,3200,7500,5000
2016,1,Other States 5/,8600,11200,1940,4140,1960
2016,1,United States,2849500,(X),352860,661860,692850
2016,7,Alabama,8500,9000,1400,160,260
2016,7,Arizona,40000,40000,6000,4300,15500
2016,7,Arkansas,23000,30000,9000,500,210
2016,7,California,730000,800000,76000,40000,93000
2016,7,Colorado,29000,30000,4500,1400,1400
2016,7,Connecticut,3700,3700,50,190,440
2016,7,Florida,164000,220000,36000,37000,29000
2016,7,Georgia,108000,110000,13000,19500,15500
2016,7,Hawaii,14500,14500,2700,1200,5500
2016,7,Idaho,80000,128000,14000,5500,11500
2016,7,Illinois,14000,14000,1400,1300,1100
2016,7,Indiana,15000,15000,1600,1400,420
2016,7,Iowa,29000,37000,3000,640,680
2016,7,Kansas,9000,9500,1000,100,160
2016,7,Kentucky,10000,10000,1300,170,550
2016,7,Louisiana,50000,55000,2000,2300,1800
2016,7,Maine,6000,6000,450,410,140
2016,7,Maryland,7000,7500,680,730,70
2016,7,Massachusetts,7500,7500,560,290,400
2016,7,Michigan,89000,89000,7000,3300,3800
2016,7,Minnesota,133000,136000,32000,640,2300
2016,7,Mississippi,23000,34000,3500,260,110
2016,7,Missouri,14000,14000,1200,700,630
2016,7,Montana,140000,156000,10500,3200,10000
2016,7,Nebraska,67000,77000,6000,500,6000
2016,7,New Jersey,18500,18500,210,190,500
2016,7,New Mexico,6500,6500,1600,1300,650
2016,7,New York,44000,47000,6500,4400,7000
2016,7,North Carolina,24000,24000,2900,2500,1100
2016,7,North Dakota,460000,500000,93000,11000,22000
2016,7,Ohio,23000,23000,1900,2300,880
2016,7,Oklahoma,19500,22000,230,160,190
2016,7,Oregon,68000,100000,8500,8000,21000
2016,7,Pennsylvania,25000,25000,1800,1800,2400
2016,7,South Carolina,12000,12000,2000,880,580
2016,7,South Dakota,295000,295000,53000,2100,13000
2016,7,Tennessee,10000,10000,1200,500,350
2016,7,Texas,76000,136000,16500,5500,4800
2016,7,Utah,31000,36000,8000,1400,2200
2016,7,Vermont,6000,6500,40,30,20
2016,7,Virginia,8000,8000,680,520,220
2016,7,Washington,84000,97000,11500,1800,20000
2016,7,West Virginia,7000,7000,300,300,270
2016,7,Wisconsin,60000,62000,9000,1300,4300
2016,7,Wyoming,29000,35000,2500,270,440
2016,7,Other States 5/,12180,12280,900,1050,700
2016,7,United States,3132880,(X),457100,172990,303070
2016,8,Alabama,8000,8000,610,80,60
2016,8,Arizona,36000,39000,12000,3000,16000
2016,8,Arkansas,23000,27000,2400,1900,-
2016,8,California,750000,1260000,149000,39000,75000
2016,8,Colorado,24000,24000,2500,3400,-
2016,8,Connecticut,3200,3200,210,40,70
2016,8,Florida,220000,260000,37000,30000,28000
2016,8,Georgia,110000,121000,18000,4400,1900
2016,8,Hawaii,13000,13000,690,2700,760
2016,8,Idaho,121000,145000,22000,5500,5500
2016,8,Illinois,14000,14000,690,-,30
2016,8,Indiana,11500,11500,1100,140,-
2016,8,Iowa,35000,35000,4300,40,30
2016,8,Kansas,8500,8500,3400,50,20
2016,8,Kentucky,8500,8500,1100,20,10
2016,8,Louisiana,55000,71000,4900,1100,2400
2016,8,Maine,4700,4700,60,530,20
2016,8,Maryland,7500,9500,730,-,-
2016,8,Massachusetts,4500,4500,260,30,30
2016,8,Michigan,67000,73000,9000,210,1600
2016,8,Minnesota,104000,105000,10000,600,40
2016,8,Mississippi,31000,34000,1500,500,230
2016,8,Missouri,13500,13500,690,30,40
2016,8,Montana,116000,123000,10000,1000,80
2016,8,Nebraska,72000,73000,7000,10,5500
2016,8,New Jersey,8000,8500,270,20,10
2016,8,New Mexico,6000,6000,290,290,30
2016,8,New York,45000,45000,4000,260,10
2016,8,North Carolina,22000,22000,2200,510,70
2016,8,North Dakota,230000,275000,35000,2700,9000
2016,8,Ohio,19000,19000,2400,200,140
2016,8,Oklahoma,5000,10000,650,290,60
2016,8,Oregon,100000,114000,8500,200,1400
2016,8,Pennsylvania,22000,23000,2500,1300,6500
2016,8,South Carolina,10000,17500,2200,640,1000
2016,8,South Dakota,194000,205000,9000,2400,-
2016,8,Tennessee,8500,10000,1100,70,420
2016,8,Texas,125000,250000,25000,13000,2000
2016,8,Utah,28000,28000,1900,120,100
2016,8,Vermont,6500,6500,940,10,10
2016,8,Virginia,7500,7500,750,-,350
2016,8,Washington,87000,89000,6500,330,170
2016,8,West Virginia,7000,7000,610,190,140
2016,8,Wisconsin,48000,48000,6500,210,10
2016,8,Wyoming,24000,25000,1300,30,-
2016,8,Other States 5/,11360,12560,1630,100,50
2016,8,United States,2874760,(X),412380,117150,158790
